,User-ID,ISBN,Book-Rating
273,276939,2253063339,9
353,276994,3596214629,8
397,277072,1573229571,9
573,277212,044023722X,8
699,277427,039304016X,8
825,277435,031215125X,8
941,277523,1558744150,10
1076,277647,067976397X,8
1099,277681,2266000489,7
1231,277898,1558744606,8
1247,277904,006019491X,7
1417,277997,067976402X,8
1547,278119,044661162X,9
1600,278137,1558744150,9
1707,278202,014025448X,2
1821,278314,1573221775,2
1897,278390,080410753X,9
1951,278418,042518630X,7
2191,278582,1400034779,10
2349,278832,155874262X,10
2389,278851,1558531025,8
2400,8,074322678X,5
2402,8,1552041778,5
2403,8,1567407781,6
2404,8,1575663937,6
2405,8,1881320189,7
2408,12,1879384493,10
2418,22,3404921038,7
2433,64,2070423204,7
2437,69,1853260053,8
2438,70,1414035004,10
2440,75,1558531025,5
2444,83,087113375X,7
2451,92,8445071408,7
2452,92,8445071769,8
2453,92,8445071777,10
2463,102,8472238822,7
2491,176,1900850303,4
2519,183,8476409419,8
2595,228,039575514X,9
2604,242,3150000335,10
2619,242,3257233051,9
2620,242,342311360X,10
2623,242,3453212150,7
2627,242,3499151502,9
2646,243,044023722X,7
2653,243,155874262X,5
2660,244,155874262X,6
2661,244,1558744150,6
2684,254,037582345X,9
2720,254,156971620X,9
2723,256,044023722X,8
2724,257,1573225487,8
2725,257,1853260673,8
2740,300,038081840X,5
2742,300,055329198X,5
2746,310,8483007010,7
2749,323,1575843366,5
2753,334,1573228737,8
2754,337,9681500555,9
2756,345,067153484X,6
2758,361,8433914545,8
2759,361,8484509141,4
2766,372,3596214629,8
2777,383,1880185008,5
2785,388,006101351X,6
2787,388,039456894X,8
2797,388,1573225126,5
2798,388,1579651658,8
2799,388,1878424319,7
2815,392,8478884963,9
2816,392,8483002523,5
2818,392,8486433193,5
2822,393,1857938011,6
2828,408,1561561428,7
2857,446,039914739X,3
2862,446,081296666X,5
2863,446,1877727083,8
2868,460,8845229041,3
2869,460,887641486X,8
2876,472,080521061X,9
2881,476,1561672033,8
2896,496,055356451X,8
2899,500,084994371X,8
2910,503,068484267X,10
2915,505,006017143X,9
2918,505,038549825X,8
2919,505,042517736X,7
2925,505,1562827049,8
2986,585,8807120194,7
2993,595,1576737357,7
3000,619,015600710X,8
3002,619,193156146X,9
3007,625,2070334368,7
3008,625,2070384349,10
3009,625,2070417743,9
3010,625,207053880X,10
3011,625,2253004022,9
3012,625,2253007102,10
3013,625,2266029460,10
3014,625,2266033689,9
3015,625,2266084372,8
3021,626,3492207006,10
3023,628,3442724686,5
3024,628,3596144434,4
3060,638,052594463X,9
3078,638,1558747346,8
3079,638,1570717257,9
3101,643,057120354X,5
3114,643,1405200677,8
3118,643,1841952931,8
3121,643,185479549X,8
3122,643,1854795554,9
3123,643,1858813093,7
3125,643,2020315491,8
3135,643,2253043974,8
3139,643,2253063339,10
3141,643,2253148539,8
3151,643,2871290911,6
3180,651,156341029X,8
3181,651,1563411148,6
3182,651,1563899388,6
3183,651,1886383421,4
3184,651,1888451084,7
3185,657,038529929X,6
3187,660,1573229571,8
3192,685,039914370X,7
3197,695,1884777805,8
3199,705,8806142267,7
3201,707,039457513X,5
3208,709,015216250X,10
3213,709,043922165X,9
3226,709,1562477528,9
3231,712,3257201761,6
3233,712,349913358X,6
3243,728,067175145X,5
3245,735,038533334X,4
3249,735,044661162X,9
3256,739,1558505377,9
3266,741,044132231X,8
3275,744,042512892X,8
3277,746,014036336X,8
3290,753,074141127X,10
3294,753,1585007366,10
3298,757,034538184X,8
3307,765,1573229385,8
3311,774,055321313X,8
3317,776,3473540420,9
3320,778,039914739X,10
3332,805,014016930X,10
3339,805,038001503X,10
3340,805,039592720X,9
3350,805,1566193966,8
3351,811,3499134446,8
3352,818,067142517X,5
3371,834,1558747346,5
3374,843,006019491X,8
3381,850,3423009152,3
3382,850,3423620005,9
3388,850,3453147243,5
3389,850,3453171977,10
3390,850,3453177800,5
3391,850,3492229336,8
3396,850,3596133319,6
3399,850,3746611229,3
3408,853,034545829X,9
3446,882,067101420X,4
3449,882,067976402X,10
3462,899,3257061269,9
3463,899,3453088433,4
3464,899,3453199766,8
3465,899,3746670144,7
3478,901,000649840X,9
3483,901,014044503X,8
3492,902,067102535X,8
3496,914,3257250053,10
3497,914,340780573X,10
3498,914,3407805853,10
3505,921,2070372294,3
3506,924,2264030542,8
3519,929,044100962X,4
3526,929,067163884X,7
3531,929,1895383129,7
